,City Name,City ID,Temperature,Max Temp,Humidity,Lat,Lng,Cloudiness,Wind Speed
359,Ornskoldsvik,2686469,36.59,37.4,74,63.29,18.72,66,8.05
360,Nanga Eboko,2225457,67.68,67.68,99,4.68,12.37,100,3.53
361,Scarborough,2638419,40.93,44.01,87,54.28,-0.41,0,5.82
362,Manica,882955,57.6,57.6,93,-18.94,32.88,82,3.69
363,Tari,2322495,78.86,78.86,77,12.41,4.49,58,6.76
364,Ayr,2177413,82.0,82.0,53,-19.58,147.4,79,7.0
365,Kabo,2386042,69.97,69.97,96,7.69,18.62,100,1.72
366,Cayenne,3382160,78.8,78.8,83,4.94,-52.33,0,3.36
367,Ranot,1607068,87.66,87.66,57,7.78,100.32,0,6.64
368,Tevaitoa,4033375,77.22,77.22,79,-16.78,-151.5,1,16.28
369,Warwick,5225507,57.31,62.01,93,41.7,-71.42,90,27.51
370,Lourdes,3583361,75.29,77.0,94,13.73,-89.37,20,2.24
